station,network,year,doy,fpath
ENWF,NV,2017,156,/fd1/yiyu_data/Endeavour/data//NV/2017/156/ENWF.NV.2017.156
KEMF,NV,2017,156,/fd1/yiyu_data/Endeavour/data//NV/2017/156/KEMF.NV.2017.156
KEMO,NV,2017,156,/fd1/yiyu_data/Endeavour/data//NV/2017/156/KEMO.NV.2017.156
NCHR,NV,2017,156,/fd1/yiyu_data/Endeavour/data//NV/2017/156/NCHR.NV.2017.156
ENWF,NV,2017,157,/fd1/yiyu_data/Endeavour/data//NV/2017/157/ENWF.NV.2017.157
KEMF,NV,2017,157,/fd1/yiyu_data/Endeavour/data//NV/2017/157/KEMF.NV.2017.157
KEMO,NV,2017,157,/fd1/yiyu_data/Endeavour/data//NV/2017/157/KEMO.NV.2017.157
NCHR,NV,2017,157,/fd1/yiyu_data/Endeavour/data//NV/2017/157/NCHR.NV.2017.157
ENWF,NV,2017,158,/fd1/yiyu_data/Endeavour/data//NV/2017/158/ENWF.NV.2017.158
KEMF,NV,2017,158,/fd1/yiyu_data/Endeavour/data//NV/2017/158/KEMF.NV.2017.158
KEMO,NV,2017,158,/fd1/yiyu_data/Endeavour/data//NV/2017/158/KEMO.NV.2017.158
NCHR,NV,2017,158,/fd1/yiyu_data/Endeavour/data//NV/2017/158/NCHR.NV.2017.158
ENWF,NV,2017,152,/fd1/yiyu_data/Endeavour/data//NV/2017/152/ENWF.NV.2017.152
KEMF,NV,2017,152,/fd1/yiyu_data/Endeavour/data//NV/2017/152/KEMF.NV.2017.152
KEMO,NV,2017,152,/fd1/yiyu_data/Endeavour/data//NV/2017/152/KEMO.NV.2017.152
NCHR,NV,2017,152,/fd1/yiyu_data/Endeavour/data//NV/2017/152/NCHR.NV.2017.152
ENWF,NV,2017,153,/fd1/yiyu_data/Endeavour/data//NV/2017/153/ENWF.NV.2017.153
KEMF,NV,2017,153,/fd1/yiyu_data/Endeavour/data//NV/2017/153/KEMF.NV.2017.153
KEMO,NV,2017,153,/fd1/yiyu_data/Endeavour/data//NV/2017/153/KEMO.NV.2017.153
NCHR,NV,2017,153,/fd1/yiyu_data/Endeavour/data//NV/2017/153/NCHR.NV.2017.153
ENWF,NV,2017,154,/fd1/yiyu_data/Endeavour/data//NV/2017/154/ENWF.NV.2017.154
KEMF,NV,2017,154,/fd1/yiyu_data/Endeavour/data//NV/2017/154/KEMF.NV.2017.154
KEMO,NV,2017,154,/fd1/yiyu_data/Endeavour/data//NV/2017/154/KEMO.NV.2017.154
NCHR,NV,2017,154,/fd1/yiyu_data/Endeavour/data//NV/2017/154/NCHR.NV.2017.154
ENWF,NV,2017,155,/fd1/yiyu_data/Endeavour/data//NV/2017/155/ENWF.NV.2017.155
KEMF,NV,2017,155,/fd1/yiyu_data/Endeavour/data//NV/2017/155/KEMF.NV.2017.155
KEMO,NV,2017,155,/fd1/yiyu_data/Endeavour/data//NV/2017/155/KEMO.NV.2017.155
NCHR,NV,2017,155,/fd1/yiyu_data/Endeavour/data//NV/2017/155/NCHR.NV.2017.155
ENWF,NV,2017,159,/fd1/yiyu_data/Endeavour/data//NV/2017/159/ENWF.NV.2017.159
KEMF,NV,2017,159,/fd1/yiyu_data/Endeavour/data//NV/2017/159/KEMF.NV.2017.159
KEMO,NV,2017,159,/fd1/yiyu_data/Endeavour/data//NV/2017/159/KEMO.NV.2017.159
NCHR,NV,2017,159,/fd1/yiyu_data/Endeavour/data//NV/2017/159/NCHR.NV.2017.159
ENWF,NV,2017,160,/fd1/yiyu_data/Endeavour/data//NV/2017/160/ENWF.NV.2017.160
KEMF,NV,2017,160,/fd1/yiyu_data/Endeavour/data//NV/2017/160/KEMF.NV.2017.160
KEMO,NV,2017,160,/fd1/yiyu_data/Endeavour/data//NV/2017/160/KEMO.NV.2017.160
NCHR,NV,2017,160,/fd1/yiyu_data/Endeavour/data//NV/2017/160/NCHR.NV.2017.160
ENWF,NV,2017,161,/fd1/yiyu_data/Endeavour/data//NV/2017/161/ENWF.NV.2017.161
KEMF,NV,2017,161,/fd1/yiyu_data/Endeavour/data//NV/2017/161/KEMF.NV.2017.161
KEMO,NV,2017,161,/fd1/yiyu_data/Endeavour/data//NV/2017/161/KEMO.NV.2017.161
NCHR,NV,2017,161,/fd1/yiyu_data/Endeavour/data//NV/2017/161/NCHR.NV.2017.161
ENWF,NV,2017,165,/fd1/yiyu_data/Endeavour/data//NV/2017/165/ENWF.NV.2017.165
KEMF,NV,2017,165,/fd1/yiyu_data/Endeavour/data//NV/2017/165/KEMF.NV.2017.165
KEMO,NV,2017,165,/fd1/yiyu_data/Endeavour/data//NV/2017/165/KEMO.NV.2017.165
NCHR,NV,2017,165,/fd1/yiyu_data/Endeavour/data//NV/2017/165/NCHR.NV.2017.165
ENWF,NV,2017,162,/fd1/yiyu_data/Endeavour/data//NV/2017/162/ENWF.NV.2017.162
KEMF,NV,2017,162,/fd1/yiyu_data/Endeavour/data//NV/2017/162/KEMF.NV.2017.162
KEMO,NV,2017,162,/fd1/yiyu_data/Endeavour/data//NV/2017/162/KEMO.NV.2017.162
NCHR,NV,2017,162,/fd1/yiyu_data/Endeavour/data//NV/2017/162/NCHR.NV.2017.162
ENWF,NV,2017,164,/fd1/yiyu_data/Endeavour/data//NV/2017/164/ENWF.NV.2017.164
KEMF,NV,2017,164,/fd1/yiyu_data/Endeavour/data//NV/2017/164/KEMF.NV.2017.164
KEMO,NV,2017,164,/fd1/yiyu_data/Endeavour/data//NV/2017/164/KEMO.NV.2017.164
NCHR,NV,2017,164,/fd1/yiyu_data/Endeavour/data//NV/2017/164/NCHR.NV.2017.164
ENWF,NV,2017,171,/fd1/yiyu_data/Endeavour/data//NV/2017/171/ENWF.NV.2017.171
NCHR,NV,2017,171,/fd1/yiyu_data/Endeavour/data//NV/2017/171/NCHR.NV.2017.171
ENWF,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/ENWF.NV.2017.170
KEMF,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/KEMF.NV.2017.170
KEMO,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/KEMO.NV.2017.170
NCHR,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/NCHR.NV.2017.170
ENWF,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/ENWF.NV.2017.166
KEMF,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/KEMF.NV.2017.166
KEMO,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/KEMO.NV.2017.166
NCHR,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/NCHR.NV.2017.166
ENWF,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/ENWF.NV.2017.163
KEMF,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/KEMF.NV.2017.163
KEMO,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/KEMO.NV.2017.163
NCHR,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/NCHR.NV.2017.163
