network,year,doy,fpath,rank
NV,2017,152,/fd1/yiyu_data/Endeavour/data//NV/2017/152,0
NV,2017,153,/fd1/yiyu_data/Endeavour/data//NV/2017/153,0
NV,2017,154,/fd1/yiyu_data/Endeavour/data//NV/2017/154,0
NV,2017,155,/fd1/yiyu_data/Endeavour/data//NV/2017/155,1
NV,2017,156,/fd1/yiyu_data/Endeavour/data//NV/2017/156,1
NV,2017,157,/fd1/yiyu_data/Endeavour/data//NV/2017/157,1
NV,2017,158,/fd1/yiyu_data/Endeavour/data//NV/2017/158,2
NV,2017,159,/fd1/yiyu_data/Endeavour/data//NV/2017/159,2
NV,2017,160,/fd1/yiyu_data/Endeavour/data//NV/2017/160,2
NV,2017,161,/fd1/yiyu_data/Endeavour/data//NV/2017/161,3
NV,2017,162,/fd1/yiyu_data/Endeavour/data//NV/2017/162,3
NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163,3
NV,2017,164,/fd1/yiyu_data/Endeavour/data//NV/2017/164,4
NV,2017,165,/fd1/yiyu_data/Endeavour/data//NV/2017/165,4
NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166,4
NV,2017,167,/fd1/yiyu_data/Endeavour/data//NV/2017/167,5
NV,2017,168,/fd1/yiyu_data/Endeavour/data//NV/2017/168,5
NV,2017,169,/fd1/yiyu_data/Endeavour/data//NV/2017/169,5
NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170,6
NV,2017,171,/fd1/yiyu_data/Endeavour/data//NV/2017/171,6
NV,2017,172,/fd1/yiyu_data/Endeavour/data//NV/2017/172,6
NV,2017,173,/fd1/yiyu_data/Endeavour/data//NV/2017/173,7
NV,2017,174,/fd1/yiyu_data/Endeavour/data//NV/2017/174,7
NV,2017,175,/fd1/yiyu_data/Endeavour/data//NV/2017/175,7
NV,2017,176,/fd1/yiyu_data/Endeavour/data//NV/2017/176,8
NV,2017,177,/fd1/yiyu_data/Endeavour/data//NV/2017/177,8
NV,2017,178,/fd1/yiyu_data/Endeavour/data//NV/2017/178,8
NV,2017,179,/fd1/yiyu_data/Endeavour/data//NV/2017/179,9
NV,2017,180,/fd1/yiyu_data/Endeavour/data//NV/2017/180,9
NV,2017,181,/fd1/yiyu_data/Endeavour/data//NV/2017/181,9
